year,round,franchise_id_original,franchise_id_current
2015,1,1,21
2015,1,2,2
2015,1,3,7
2015,1,4,14
2015,1,5,5
2015,1,6,21
2015,1,7,7
2015,1,8,8
2015,1,9,11
2015,1,10,10
2015,1,11,5
2015,1,12,12
2015,1,13,13
2015,1,14,14
2015,1,15,15
2015,1,16,7
2015,1,17,7
2015,1,18,18
2015,1,19,19
2015,1,20,20
2015,1,21,21
2015,1,22,22
2015,1,23,23
2015,1,24,24
2015,2,1,7
2015,2,2,2
2015,2,3,3
2015,2,4,14
2015,2,5,5
2015,2,6,18
2015,2,7,7
2015,2,8,4
2015,2,9,21
2015,2,10,10
2015,2,11,11
2015,2,12,14
2015,2,13,13
2015,2,14,14
2015,2,15,22
2015,2,16,7
2015,2,17,20
2015,2,18,18
2015,2,19,19
2015,2,20,7
2015,2,21,13
2015,2,22,22
2015,2,23,23
2015,2,24,24
2015,3,1,24
2015,3,2,2
2015,3,3,19
2015,3,4,24
2015,3,5,5
2015,3,6,6
2015,3,7,13
2015,3,8,21
2015,3,9,5
2015,3,10,10
2015,3,11,21
2015,3,12,18
2015,3,13,13
2015,3,14,14
2015,3,15,15
2015,3,16,15
2015,3,17,5
2015,3,18,18
2015,3,19,19
2015,3,20,20
2015,3,21,5
2015,3,22,22
2015,3,23,23
2015,3,24,24
2015,4,1,13
2015,4,2,11
2015,4,3,9
2015,4,4,13
2015,4,5,15
2015,4,6,6
2015,4,7,18
2015,4,8,8
2015,4,9,8
2015,4,10,10
2015,4,11,11
2015,4,12,21
2015,4,13,15
2015,4,14,8
2015,4,15,15
2015,4,16,24
2015,4,17,21
2015,4,18,4
2015,4,19,19
2015,4,20,8
2015,4,21,24
2015,4,22,22
2015,4,23,23
2015,4,24,24
