date,away_team,away_score,home_team,home_score,extra_innings
2008-04-02,Arr,3,Bal,9,
2008-04-02,Bra,5,SR,3,10
2008-04-02,Bro,8,LA,15,
2008-04-02,Cam,3,ToS,4,
2008-04-02,CC,4,Sio,9,
2008-04-02,Hun,5,Rap,0,
2008-04-02,LV,8,Pho,6,
2008-04-02,Men,13,NY,2,
2008-04-02,Riv,6,Mia,5,
2008-04-02,Sco,1,AD,0,
2008-04-02,Syr,1,SF,2,
2008-04-02,ToB,2,AC,3,
2008-04-03,Arr,2,Bal,5,
2008-04-03,Bra,4,SR,5,
2008-04-03,Bro,4,LA,3,
2008-04-03,Cam,8,ToS,10,
2008-04-03,CC,13,Sio,6,
2008-04-03,Hun,4,Rap,3,
2008-04-03,LV,7,Pho,2,
2008-04-03,Men,5,NY,3,10
2008-04-03,Riv,1,Mia,2,
2008-04-03,Sco,5,AD,1,
2008-04-03,Syr,5,SF,6,10
2008-04-03,ToB,0,AC,1,11
2008-04-04,Arr,12,Bal,4,
2008-04-04,Bra,9,SR,5,
2008-04-04,Bro,6,LA,3,
2008-04-04,Cam,6,ToS,4,
2008-04-04,CC,2,Sio,5,
2008-04-04,Hun,8,Rap,4,
2008-04-04,LV,8,Pho,6,
2008-04-04,Men,9,NY,1,
2008-04-04,Riv,2,Mia,8,
2008-04-04,Sco,8,AD,1,
2008-04-04,Syr,9,SF,2,
2008-04-04,ToB,7,AC,8,
2008-04-05,AC,8,Rap,6,
2008-04-05,AD,2,LA,0,
2008-04-05,Arr,1,ToS,11,
2008-04-05,Bal,8,SR,3,
2008-04-05,Bra,8,Riv,3,10
2008-04-05,Bro,1,Men,2,
2008-04-05,CC,6,Cam,1,
2008-04-05,Hun,1,LV,12,
2008-04-05,Sco,6,Pho,1,
2008-04-05,SF,5,Sio,3,
2008-04-05,Syr,0,Mia,5,
2008-04-05,ToB,0,NY,1,
2008-04-06,AC,3,Rap,4,13
2008-04-06,AD,4,LA,7,
2008-04-06,Arr,2,ToS,6,
2008-04-06,Bal,8,SR,7,
2008-04-06,Bra,2,Riv,1,
2008-04-06,Bro,2,Men,11,
2008-04-06,CC,6,Cam,1,
2008-04-06,Hun,9,LV,4,
2008-04-06,Sco,7,Pho,6,10
