year,franchise_id,team_id,owner_id
1999,1,1,1
1999,2,2,2
1999,3,3,3
1999,4,4,4
1999,5,5,5
1999,6,6,6
1999,7,7,7
1999,8,8,8
1999,9,9,9
1999,10,10,10
1999,11,11,11
1999,12,12,12
1999,13,13,13
1999,14,14,14
1999,15,15,15
1999,16,16,16
1999,17,17,17
1999,18,18,18
1999,19,19,19
1999,20,20,20
1999,21,21,21
1999,22,22,22
1999,23,23,23
1999,24,24,24
2000,1,1,1
2000,2,25,25
2000,3,26,26
2000,4,27,27
2000,5,28,28
2000,6,6,6
2000,7,29,29
2000,8,8,8
2000,9,30,30
2000,10,10,10
2000,11,31,31
2000,12,12,12
2000,13,13,13
2000,14,14,14
2000,15,15,15
2000,16,16,16
2000,17,17,32
2000,18,18,18
2000,19,19,19
2000,20,20,20
2000,21,32,33
2000,22,22,22
2000,23,23,34
2000,24,33,35
2001,1,34,36
2001,2,25,25
2001,3,35,26
2001,4,27,27
2001,5,36,28
2001,6,6,6
2001,7,37,37
2001,8,8,8
2001,9,38,38
2001,10,10,10
2001,11,31,31
2001,12,39,39
2001,13,40,40
2001,14,14,14
2001,15,15,15
2001,16,16,16
2001,17,41,32
2001,18,18,18
2001,19,19,19
2001,20,20,20
2001,21,32,33
2001,22,42,41
2001,23,43,34
2001,24,44,42
2002,1,34,36
2002,2,46,25
2002,3,35,26
2002,4,47,44
2002,5,36,28
2002,6,6,6
2002,7,37,37
2002,8,8,8
2002,9,38,38
2002,10,10,43
2002,11,31,31
2002,12,39,39
2002,13,45,40
2002,14,14,14
2002,15,15,15
2002,16,16,16
2002,17,41,32
2002,18,18,18
2002,19,19,19
2002,20,20,20
2002,21,32,33
2002,22,42,41
2002,23,43,34
2002,24,44,42
2003,1,49,46
2003,2,46,25
2003,3,35,26
2003,4,47,44
2003,5,36,28
2003,6,6,6
2003,7,37,37
2003,8,48,45
2003,9,38,38
2003,10,10,43
2003,11,31,31
2003,12,39,39
2003,13,45,40
2003,14,14,14
2003,15,15,15
2003,16,16,16
2003,17,41,32
2003,18,50,18
2003,19,19,19
2003,20,20,20
2003,21,32,33
2003,22,42,41
2003,23,43,34
