transaction_group_id,transaction_type,year,franchise_id_to,franchise_id_from,player_id,extension_year,draft_year,draft_round,draft_franchise_id_original,processed_at
1,RELEASE,2005,,18,26173,,,,,2005-01-15 23:25:00.00
2,RELEASE,2005,,18,25952,,,,,2005-01-16 02:14:00.00
3,RELEASE,2005,,10,19361,,,,,2005-01-16 14:19:00.00
4,RELEASE,2005,,10,25813,,,,,2005-01-16 14:20:00.00
5,TRADE,2005,23,10,,,2005,4,11,2005-01-16 15:55:00.00
5,TRADE,2005,23,10,,,2005,4,15,2005-01-16 15:55:00.00
5,TRADE,2005,23,10,24693,,,,,2005-01-16 15:55:00.00
5,TRADE,2005,23,10,25778,,,,,2005-01-16 15:55:00.00
5,TRADE,2005,23,10,26330,,,,,2005-01-16 15:55:00.00
5,TRADE,2005,10,23,24861,,,,,2005-01-16 15:55:00.00
6,TRADE,2005,23,5,,,2005,4,9,2005-01-16 17:29:00.00
6,TRADE,2005,23,5,,,2005,2,11,2005-01-16 17:29:00.00
6,TRADE,2005,5,23,13559,,,,,2005-01-16 17:29:00.00
6,TRADE,2005,23,5,20257,,,,,2005-01-16 17:29:00.00
7,TRADE,2005,7,3,,,2005,1,23,2005-01-19 00:48:00.00
7,TRADE,2005,3,7,24900,,,,,2005-01-19 00:48:00.00
7,TRADE,2005,7,3,21327,,,,,2005-01-19 00:48:00.00
8,TRADE,2005,7,5,,,2005,1,6,2005-01-19 00:50:00.00
8,TRADE,2005,7,5,,,2005,2,8,2005-01-19 00:50:00.00
8,TRADE,2005,7,5,,,2005,1,11,2005-01-19 00:50:00.00
8,TRADE,2005,5,7,25720,,,,,2005-01-19 00:50:00.00
8,TRADE,2005,7,5,26353,,,,,2005-01-19 00:50:00.00
8,TRADE,2005,7,5,26373,,,,,2005-01-19 00:50:00.00
9,TRADE,2005,13,5,,,2005,3,5,2005-01-20 01:28:00.00
9,TRADE,2005,5,13,24449,,,,,2005-01-20 01:28:00.00
10,TRADE,2005,2,13,,,2005,1,10,2005-01-21 01:59:00.00
10,TRADE,2005,2,13,,,2005,2,14,2005-01-21 01:59:00.00
10,TRADE,2005,2,13,24159,,,,,2005-01-21 01:59:00.00
10,TRADE,2005,2,13,12662,,,,,2005-01-21 01:59:00.00
10,TRADE,2005,13,2,25324,,,,,2005-01-21 01:59:00.00
10,TRADE,2005,13,2,25166,,,,,2005-01-21 01:59:00.00
11,TRADE,2005,2,16,24941,,,,,2005-01-22 15:19:00.00
11,TRADE,2005,16,2,26348,,,,,2005-01-22 15:19:00.00
12,TRADE,2005,1,16,24931,,,,,2005-01-22 16:18:00.00
12,TRADE,2005,16,1,24615,,,,,2005-01-22 16:18:00.00
12,TRADE,2005,16,1,25865,,,,,2005-01-22 16:18:00.00
13,RELEASE,2005,,21,19004,,,,,2005-01-22 17:08:00.00
14,RELEASE,2005,,11,11670,,,,,2005-01-22 18:34:00.00
15,RELEASE,2005,,11,25487,,,,,2005-01-22 18:35:00.00
15,RELEASE,2005,,11,22589,,,,,2005-01-22 18:35:00.00
16,TRADE,2005,2,5,,,2005,1,12,2005-01-22 19:09:00.00
16,TRADE,2005,5,2,,,2005,2,14,2005-01-22 19:09:00.00
16,TRADE,2005,5,2,14974,,,,,2005-01-22 19:09:00.00
16,TRADE,2005,5,2,25914,,,,,2005-01-22 19:09:00.00
